id,chat_time,platform,user_id,agent_id,conversation_id,intent_id,is_fallback,total_fallbacks,user_response,Sentiment,Code,combined
5201547,1/14/2021 14:15,Web,6.00E+13,104,1380,60,1,2,Why won't my promo code apply?,negative,0,Why won't my promo code apply?
5203937,1/14/2021 16:58,Web,6.00E+13,104,1380,2346,0,0,I noticed you do not have a social media presence. Would you be interested in a referral for someone to manage your social media accounts and grow your brand image on Instagram?,positive,1,I noticed you do not have a social media presence. Would you be interested in a referral for someone to manage your social media accounts and grow your brand image on Instagram?
5255969,1/19/2021 2:31,Web,6.01E+13,533,11666,3940,0,0,21255,positive,1,21255
2432623,5/23/2020 15:33,Facebook,1.72E+15,238,3135,-1,0,2,Bye,positive,1,"Bye, Y not, Phone number, How much for Case crab legs"
2448119,5/25/2020 15:07,Facebook,1.72E+15,238,3090,4,0,8,Y not,negative,0,"Y not, Phone number, How much for Case crab legs"
2432614,5/23/2020 15:32,Facebook,1.72E+15,238,3090,7,0,2,Phone number,positive,1,"Phone number, How much for Case crab legs"
2432578,5/23/2020 15:30,Facebook,1.72E+15,238,3103,-1,0,0,How much for Case crab legs,positive,1,How much for Case crab legs
4696003,12/4/2020 0:36,Facebook,1.73E+15,533,10138,3,0,0,<GET_STARTED_PAYLOAD>,positive,1,<GET_STARTED_PAYLOAD>
2763950,6/23/2020 14:22,Facebook,1.78E+15,238,3090,3531,0,0,What's the lineup?,positive,1,What's the lineup?
4415194,11/12/2020 18:40,Facebook,1.92E+15,533,10138,4478,0,0,Absolutely great. Best holster I've ever had.,positive,1,Absolutely great. Best holster I've ever had.
3596426,9/4/2020 18:21,Facebook,1.92E+15,238,3090,3528,0,0,Do you have a list of seafood and prices,positive,1,Do you have a list of seafood and prices
4811499,12/12/2020 19:17,Facebook,1.98E+15,533,10138,60,1,1,Time to eat!,positive,1,Time to eat!
3650071,9/9/2020 17:18,Facebook,2.00E+15,238,3090,3533,0,0,Do you'll take EBT?,positive,1,Do you'll take EBT?
